,artist,explicit,name,album,popularity,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo,id,query,count
0,Mary Jane Girls,False,In My House - Single Version,80s Soul (International Version),24,0.0137,0.795,3,0.664,0.0796,A#,0.0726,-9.171,minor,0.0316,4,0.936,116.808,1,Funky 80's,1
1,Michael Jackson,False,Thriller - Single Version,The Essential Michael Jackson,0,0.0934,0.775,5,0.815,3.4e-05,B,0.256,-5.639,major,0.0477,4,0.835,118.402,1,Funky 80's,1
2,Change,False,A Lovers'S Holiday - Single Edit,Greatest Hits & Rare Tracks,0,0.0277,0.932,4,0.651,0.00959,B,0.0714,-5.747,minor,0.224,4,0.821,116.357,1,Funky 80's,1
3,George Duke,False,Shine On,DREAM ON,40,0.0176,0.8,5,0.77,0.0115,C#,0.0285,-11.271,minor,0.0415,4,0.96,118.832,1,Funky 80's,1
4,CHIC,False,Believer,The Best of Chic Vol. 2,21,0.36,0.855,5,0.506,0.00687,G,0.0391,-14.156,major,0.0944,4,0.882,115.708,1,Funky 80's,1
5,Phyllis Hyman,False,You Know How To Love Me - Edit Version,Essential - Soul Love,0,0.268,0.802,3,0.832,8.4e-05,F#,0.152,-5.156,minor,0.042,4,0.965,115.915,1,Funky 80's,1
6,Billy Ocean,False,Caribbean Queen (No More Love On the Run),L.I.F.E. (Love Is For Ever),0,0.295,0.82,4,0.596,8.54e-06,D,0.0635,-8.384,minor,0.0275,4,0.961,113.799,1,Funky 80's,1
7,Cameo,False,Word Up,The Best Of Cameo,0,0.0525,0.863,4,0.838,0.00217,F#,0.0569,-12.38,minor,0.0636,4,0.899,115.931,1,Funky 80's,1
8,Aretha Franklin,False,Jump To It,Aretha Franklin - The Very Best Of,0,0.26,0.784,4,0.516,3.94e-06,B,0.433,-12.669,major,0.176,4,0.937,120.265,1,Funky 80's,1
9,"Earth, Wind & Fire",False,Fantasy,"The Best Of Earth, Wind & Fire Vol. II",0,0.207,0.669,3,0.532,0.0074,G,0.163,-14.148,major,0.0504,4,0.676,88.75,1,Funky 80's,1
