,artist,explicit,name,album,popularity,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo,id,query,count
0,Joni Mitchell,False,Big Yellow Taxi,Ladies of the Canyon,24,0.579,0.611,2,0.47,0.0,E,0.581,-9.135,major,0.0356,4,0.97,85.527,1,Happy mix,1
1,The Rascals,False,A Beautiful Morning - Single Version,Time Peace: The Rascals' Greatest Hits,52,0.399,0.503,2,0.484,0.0,F,0.345,-12.833,minor,0.0311,4,0.8,122.203,1,Happy mix,1
2,The Foundations,False,Build Me Up Buttercup - Mono,The Foundations,73,0.315,0.659,2,0.513,0.0,C,0.283,-7.186,major,0.0293,4,0.855,133.609,1,Happy mix,1
3,Jeff Lynne,False,Every Little Thing,Armchair Theatre,36,0.267,0.576,3,0.56,3.7e-05,C,0.264,-7.296,major,0.0362,4,0.724,115.326,1,Happy mix,1
4,George Harrison,False,Got My Mind Set On You - Remastered 2004,Cloud Nine,71,0.465,0.767,3,0.854,2.03e-06,E,0.485,-6.947,major,0.0426,4,0.963,149.206,1,Happy mix,1
5,Stevie Wonder,False,Uptight (Everything's Alright),Up-Tight,55,0.186,0.593,2,0.642,0.0,F,0.129,-9.894,minor,0.0304,4,0.919,133.281,1,Happy mix,1
6,Dolly Parton,False,Two Doors Down,Here You Come Again,51,0.645,0.694,3,0.698,0.0243,F#,0.0484,-9.41,minor,0.086,4,0.867,98.338,1,Happy mix,1
7,Kenny Loggins,False,Footloose,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",68,0.0819,0.546,3,0.895,1.42e-05,A,0.0768,-7.189,major,0.0579,4,0.494,174.089,1,Happy mix,1
8,Curtis Mayfield,False,Move on Up,Move on Up,68,0.417,0.538,2,0.969,0.00154,B,0.119,-5.626,minor,0.0906,4,0.928,138.652,1,Happy mix,1
9,Raspberries,False,Go All The Way,Raspberries,62,0.548,0.305,3,0.849,0.000134,A,0.0995,-4.892,major,0.0999,4,0.555,134.287,1,Happy mix,1
10,Sam & Dave,False,"Hold On, I'm Comin'","Hold On, I'm Comin'",66,0.196,0.803,2,0.338,0.038,F#,0.097,-14.029,major,0.0349,4,0.912,106.841,1,Happy mix,1
11,Sam & Dave,False,Soul Man,Soul Men,65,0.263,0.79,2,0.41,0.00314,C,0.174,-13.241,major,0.0343,4,0.815,112.345,1,Happy mix,1
12,REO Speedwagon,False,Keep Pushin',R.E.O.,45,0.0325,0.581,4,0.906,5.93e-05,C#,0.133,-5.573,minor,0.0418,4,0.813,147.594,1,Happy mix,1
13,Fleetwood Mac,False,Monday Morning,Fleetwood Mac,56,0.00177,0.607,2,0.567,0.000151,C,0.212,-15.728,major,0.0302,4,0.858,106.495,1,Happy mix,1
14,Bobby McFerrin,False,Don't Worry Be Happy,Simple Pleasures,67,0.88,0.675,4,0.166,7.14e-05,B,0.0461,-22.602,major,0.171,4,0.747,68.837,1,Happy mix,1
15,Dexys Midnight Runners,False,Come On Eileen,Too Rye Ay,75,0.664,0.45,4,0.656,3.02e-06,D,0.259,-7.049,major,0.0472,4,0.782,106.61,1,Happy mix,1
16,The Knack,False,My Sharona,Get The Knack,73,0.0589,0.586,4,0.7,0.00125,C,0.0318,-9.558,major,0.0363,4,0.897,147.245,1,Happy mix,1
17,Steppenwolf,False,Magic Carpet Ride,The Second,68,0.142,0.64,4,0.651,0.28,E,0.0341,-14.981,minor,0.0517,4,0.801,111.676,1,Happy mix,1
18,Boston,False,More Than a Feeling,Boston,77,0.00088,0.377,4,0.681,0.0023,G,0.0504,-8.039,major,0.0298,4,0.285,108.789,1,Happy mix,1
19,Looking Glass,False,Brandy (You're a Fine Girl),Looking Glass,73,0.396,0.716,3,0.625,1.97e-05,C#,0.134,-11.369,minor,0.0601,4,0.826,125.276,1,Happy mix,1
20,Dolly Parton,False,9 to 5,9 To 5 And Odd Jobs,75,0.416,0.554,2,0.783,1.54e-06,F#,0.631,-5.852,major,0.0457,4,0.813,105.39,1,Happy mix,1
21,a-ha,False,Take on Me,Hunting High and Low,83,0.018,0.573,3,0.902,0.00125,F#,0.0928,-7.638,minor,0.054,4,0.876,84.412,1,Happy mix,1
22,Little River Band,False,Help Is On Its Way - 2010 Digital Remaster,Diamantina Cocktail (2010 Remaster),59,0.105,0.628,4,0.555,0.0,F#,0.0707,-8.718,major,0.0287,4,0.607,106.104,1,Happy mix,1
23,Electric Light Orchestra,False,Don't Bring Me Down,Discovery,71,0.144,0.638,4,0.867,0.000733,D,0.0846,-6.469,major,0.0331,4,0.805,115.692,1,Happy mix,1
24,Huey Lewis & The News,False,The Power Of Love,Greatest Hits: Huey Lewis And The News,73,0.0964,0.768,3,0.829,2.92e-05,F,0.097,-5.109,major,0.0313,4,0.962,118.773,1,Happy mix,1
25,Katrina & The Waves,False,Walking On Sunshine,Katrina & The Waves,77,0.0116,0.596,3,0.869,0.173,A#,0.0678,-11.97,major,0.037,4,0.944,109.902,1,Happy mix,1
26,Bob Marley & The Wailers,False,Three Little Birds,Exodus (Deluxe Edition),77,0.0111,0.814,3,0.482,1.57e-06,A,0.0476,-10.493,major,0.0588,4,0.615,148.404,1,Happy mix,1
27,James Brown & The Famous Flames,False,I Got You (I Feel Good),20 All-Time Greatest Hits!,0,0.308,0.599,2,0.49,3.26e-06,G,0.164,-8.39,major,0.109,5,0.738,143.321,1,Happy mix,1
28,CHIC,False,Le Freak - 2018 Remaster,The Chic Organization 1977-1979 (2018 Remaster),54,0.0258,0.91,5,0.641,6.42e-05,G,0.0642,-11.316,major,0.0589,4,0.903,118.533,1,Happy mix,1
29,Queen,False,You're My Best Friend - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),61,0.158,0.518,2,0.761,0.00765,C,0.0715,-7.025,major,0.0452,4,0.576,118.738,1,Happy mix,1
30,Wild Cherry,False,Play That Funky Music,Wild Cherry,70,0.0435,0.814,5,0.672,0.0,A,0.061,-12.068,major,0.0619,4,0.933,109.394,1,Happy mix,1
31,Carl Douglas,False,Kung Fu Fighting,The Soul of the Kung Fu Fighter,66,0.0422,0.598,3,0.673,6.9e-05,D,0.289,-10.431,major,0.0693,4,0.59,102.034,1,Happy mix,1
32,"Earth, Wind & Fire",False,September,September,66,0.165,0.694,3,0.831,0.000892,A,0.25,-7.288,major,0.0301,4,0.98,125.901,1,Happy mix,1
33,Badfinger,False,No Matter What - Remastered 2010,No Dice (Remastered 2010 / Deluxe Edition),64,0.177,0.529,3,0.743,0.0,A,0.0759,-5.523,major,0.0481,4,0.78,116.817,1,Happy mix,1
34,Michael Jackson,False,Rock with You - Single Version,Off the Wall,73,0.179,0.808,3,0.535,9.91e-05,C#,0.158,-12.521,major,0.0353,4,0.848,114.031,1,Happy mix,1
35,Cheap Trick,False,I Want You to Want Me,In Color,68,0.78,0.806,3,0.462,0.0134,D,0.15,-12.778,major,0.0298,4,0.736,92.726,1,Happy mix,1
36,Stevie Wonder,False,I Wish,Songs In The Key Of Life,65,0.0816,0.821,4,0.721,7.37e-06,A#,0.0664,-10.401,minor,0.0515,4,0.885,105.866,1,Happy mix,1
