,artist,explicit,name,album,popularity,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo,id,query,count
0,Lauren Spencer-Smith,True,Flowers,Flowers,82,0.869,0.684,2,0.449,0.0,D#,0.0881,-9.738,major,0.611,4,0.341,66.165,1,Top 50 Australia,1
1,Jack Harlow,True,Churchill Downs (feat. Drake),Come Home The Kids Miss You,82,0.615,0.71,5,0.522,0.0,B,0.11,-9.102,major,0.36,4,0.37,96.448,1,Top 50 Australia,1
2,The Goo Goo Dolls,False,Iris,Dizzy up the Girl,82,0.00125,0.315,4,0.715,7.97e-06,B,0.0942,-8.072,minor,0.0362,3,0.497,155.925,1,Top 50 Australia,1
3,The Killers,False,Mr. Brightside,Hot Fuss,82,0.00121,0.352,3,0.911,0.0,C#,0.0995,-5.23,major,0.0747,4,0.236,148.033,1,Top 50 Australia,1
4,Kendrick Lamar,True,Auntie Diaries,Mr. Morale & The Big Steppers,79,0.745,0.52,4,0.375,0.0122,C,0.429,-13.409,major,0.358,5,0.589,127.544,1,Top 50 Australia,1
5,Doja Cat,True,Woman,Planet Her,91,0.0888,0.824,2,0.764,0.00294,F,0.117,-4.175,minor,0.0854,4,0.881,107.998,1,Top 50 Australia,1
6,J. Cole,True,No Role Modelz,2014 Forest Hills Drive,86,0.324,0.69,4,0.521,0.0,A#,0.0534,-8.492,minor,0.339,4,0.494,100.028,1,Top 50 Australia,1
7,Kendrick Lamar,True,Crown,Mr. Morale & The Big Steppers,80,0.801,0.355,4,0.245,9.11e-05,C#,0.112,-13.475,minor,0.0358,4,0.162,173.329,1,Top 50 Australia,1
8,Kendrick Lamar,True,Mr. Morale,Mr. Morale & The Big Steppers,81,0.283,0.727,3,0.53,2.76e-05,A,0.392,-8.616,major,0.312,3,0.258,174.025,1,Top 50 Australia,1
9,Tate McRae,False,she's all i wanna be,she's all i wanna be,86,0.0134,0.614,3,0.644,7.07e-06,D,0.117,-5.372,minor,0.0426,4,0.651,160.036,1,Top 50 Australia,1
10,Post Malone,True,Cooped Up (with Roddy Ricch),Cooped Up,87,0.038,0.669,3,0.773,0.0,C,0.113,-5.619,major,0.153,4,0.377,93.923,1,Top 50 Australia,1
11,Kendrick Lamar,True,Rich - Interlude,Mr. Morale & The Big Steppers,80,0.864,0.481,1,0.406,0.000315,G,0.0869,-11.52,major,0.0775,4,0.741,91.589,1,Top 50 Australia,1
12,Adele,False,Easy On Me,30,83,0.578,0.604,3,0.366,0.0,F,0.133,-7.519,major,0.0282,4,0.13,141.981,1,Top 50 Australia,1
13,Benson Boone,False,In The Stars,In The Stars,86,0.338,0.362,3,0.54,0.0,A#,0.139,-6.031,major,0.0528,3,0.3,78.007,1,Top 50 Australia,1
14,Dave,True,Starlight,Starlight,84,0.341,0.954,3,0.367,5.48e-06,E,0.0979,-9.551,minor,0.288,4,0.372,124.026,1,Top 50 Australia,1
15,GAYLE,True,abcdefu,abcdefu,91,0.299,0.695,2,0.54,0.0,E,0.367,-5.692,major,0.0493,4,0.415,121.932,1,Top 50 Australia,1
16,Imagine Dragons,False,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,83,0.237,0.728,2,0.783,0.0,B,0.434,-4.424,minor,0.266,4,0.555,77.011,1,Top 50 Australia,1
17,Latto,True,Big Energy,777,73,0.0453,0.937,2,0.793,0.0,B,0.341,-4.431,minor,0.115,4,0.794,106.022,1,Top 50 Australia,1
18,Olivia Rodrigo,True,good 4 u,SOUR,90,0.335,0.563,2,0.664,0.0,A,0.0849,-5.044,major,0.154,4,0.688,166.928,1,Top 50 Australia,1
19,Lil Nas X,True,THATS WHAT I WANT,MONTERO,90,0.00614,0.737,2,0.846,0.0,C#,0.0486,-4.51,minor,0.22,4,0.546,87.981,1,Top 50 Australia,1
20,Elley Duhé,False,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,92,0.0228,0.41,3,0.611,0.0,E,0.116,-8.271,minor,0.0467,3,0.0899,185.727,1,Top 50 Australia,1
21,SUPER-Hi,False,Following the Sun,Following the Sun,70,0.398,0.734,3,0.828,0.0225,F#,0.136,-4.433,minor,0.033,4,0.717,127.023,1,Top 50 Australia,1
22,WILLOW,False,Wait a Minute!,ARDIPITHECUS,88,0.0371,0.764,3,0.705,1.94e-05,D#,0.0943,-5.279,minor,0.0278,4,0.672,101.003,1,Top 50 Australia,1
23,Leah Kate,True,10 Things I Hate About You,10 Things I Hate About You,84,0.00991,0.544,2,0.786,0.0,G#,0.169,-2.97,major,0.0501,4,0.446,153.967,1,Top 50 Australia,1
24,Camila Cabello,False,Bam Bam (feat. Ed Sheeran),Familia,83,0.182,0.756,3,0.697,0.0,G#,0.333,-6.377,major,0.0401,4,0.956,94.996,1,Top 50 Australia,1
25,Kendrick Lamar,True,Savior,Mr. Morale & The Big Steppers,83,0.495,0.605,3,0.692,0.0,G#,0.303,-7.45,major,0.446,5,0.685,124.84,1,Top 50 Australia,1
26,Lil Nas X,True,INDUSTRY BABY (feat. Jack Harlow),MONTERO,84,0.0221,0.741,3,0.691,0.0,A#,0.0476,-7.395,minor,0.0672,4,0.892,150.087,1,Top 50 Australia,1
27,Jack Harlow,True,Dua Lipa,Come Home The Kids Miss You,85,0.00161,0.833,2,0.652,0.0985,B,0.106,-6.942,major,0.0762,4,0.405,158.022,1,Top 50 Australia,1
28,Kendrick Lamar,True,Silent Hill,Mr. Morale & The Big Steppers,85,0.438,0.907,3,0.577,3.19e-05,C#,0.137,-6.737,minor,0.0767,4,0.801,140.07,1,Top 50 Australia,1
29,Ed Sheeran,False,Bad Habits,=,90,0.0451,0.807,3,0.893,2.79e-05,B,0.366,-3.745,minor,0.0347,4,0.537,126.011,1,Top 50 Australia,1
30,Kendrick Lamar,True,Purple Hearts,Mr. Morale & The Big Steppers,83,0.167,0.567,5,0.824,2.65e-06,D#,0.149,-6.973,minor,0.296,4,0.737,138.202,1,Top 50 Australia,1
31,Ed Sheeran,False,Shivers,=,89,0.281,0.788,3,0.859,0.0,D,0.0424,-2.724,major,0.0856,4,0.822,141.02,1,Top 50 Australia,1
32,Justin Bieber,False,Ghost,Justice,89,0.185,0.601,2,0.741,2.91e-05,D,0.415,-5.569,major,0.0478,4,0.441,153.96,1,Top 50 Australia,1
33,Kendrick Lamar,True,We Cry Together,Mr. Morale & The Big Steppers,83,0.292,0.648,5,0.68,0.0,B,0.0808,-7.276,major,0.345,3,0.504,106.89,1,Top 50 Australia,1
34,Kendrick Lamar,True,Count Me Out,Mr. Morale & The Big Steppers,84,0.671,0.776,4,0.431,0.0,E,0.153,-7.544,minor,0.091,4,0.495,133.999,1,Top 50 Australia,1
35,Future,True,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,88,0.314,0.463,3,0.642,0.0,C#,0.0686,-4.474,major,0.34,4,0.339,83.389,1,Top 50 Australia,1
36,Kendrick Lamar,True,Worldwide Steppers,Mr. Morale & The Big Steppers,83,0.753,0.514,3,0.472,0.00012,G#,0.0746,-11.106,minor,0.368,3,0.557,77.215,1,Top 50 Australia,1
37,Lost Frequencies,False,Where Are You Now,Where Are You Now,90,0.515,0.671,2,0.636,0.000411,F#,0.172,-8.117,minor,0.103,4,0.262,120.966,1,Top 50 Australia,1
38,Elton John,False,Cold Heart - PNAU Remix,The Lockdown Sessions,84,0.0354,0.795,3,0.8,7.25e-05,C#,0.0915,-6.32,major,0.0309,4,0.934,116.032,1,Top 50 Australia,1
39,Kendrick Lamar,True,Rich Spirit,Mr. Morale & The Big Steppers,85,0.428,0.852,3,0.421,2.28e-06,A#,0.106,-9.153,minor,0.208,4,0.457,95.977,1,Top 50 Australia,1
40,The Kid LAROI,True,Thousand Miles,Thousand Miles,87,0.0858,0.376,2,0.657,0.0,G,0.0884,-4.658,major,0.0768,4,0.203,80.565,1,Top 50 Australia,1
41,The Kid LAROI,True,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,87,0.0383,0.591,2,0.764,0.0,C#,0.103,-5.484,major,0.0483,4,0.478,169.928,1,Top 50 Australia,1
42,Kendrick Lamar,True,Father Time (feat. Sampha),Mr. Morale & The Big Steppers,85,0.181,0.514,3,0.779,0.0,A#,0.099,-4.365,minor,0.344,4,0.517,152.869,1,Top 50 Australia,1
43,Kendrick Lamar,True,United In Grief,Mr. Morale & The Big Steppers,86,0.244,0.529,4,0.845,0.0,G#,0.143,-8.142,major,0.404,3,0.331,85.63,1,Top 50 Australia,1
44,Glass Animals,False,Heat Waves,Dreamland (+ Bonus Levels),89,0.44,0.761,3,0.525,6.7e-06,B,0.0921,-6.9,major,0.0944,4,0.531,80.87,1,Top 50 Australia,1
45,Kendrick Lamar,True,Die Hard,Mr. Morale & The Big Steppers,88,0.319,0.775,3,0.736,0.00116,C#,0.127,-8.072,minor,0.247,4,0.362,100.988,1,Top 50 Australia,1
46,Lizzo,True,About Damn Time,About Damn Time,93,0.0995,0.836,3,0.743,0.0,A#,0.335,-6.305,minor,0.0656,4,0.722,108.966,1,Top 50 Australia,1
47,Kendrick Lamar,True,N95,Mr. Morale & The Big Steppers,90,0.377,0.79,3,0.67,2.32e-06,C#,0.119,-5.527,major,0.105,4,0.408,139.956,1,Top 50 Australia,1
48,Jack Harlow,True,First Class,Come Home The Kids Miss You,84,0.111,0.902,2,0.582,3.18e-06,F,0.111,-5.902,minor,0.109,4,0.332,107.005,1,Top 50 Australia,1
49,Harry Styles,False,As It Was,As It Was,100,0.342,0.52,2,0.731,0.00101,F#,0.311,-5.338,minor,0.0557,4,0.662,173.93,1,Top 50 Australia,1
0,Hashemi,False,Disarray,Disarray,33,0.0854,0.696,3,0.573,0.0252,D,0.103,-7.043,minor,0.0349,4,0.318,102.986,2,Top 50 Poland,1
1,Whitepink,False,This Is My Time,This Is My Time,31,0.0163,0.805,2,0.567,0.438,C#,0.253,-11.251,major,0.171,4,0.437,90.001,2,Top 50 Poland,1
2,2115,True,WIĘCEJ DYMU,WIĘCEJ DYMU,69,0.0537,0.816,2,0.679,0.0,F#,0.0498,-6.513,minor,0.303,4,0.68,165.906,2,Top 50 Poland,1
3,bunker,False,hello darlin',hello darlin',35,0.0201,0.603,3,0.517,0.0,A,0.172,-9.691,major,0.03,4,0.305,93.982,2,Top 50 Poland,1
4,Tromba,True,ŚMIECI WYWÓZ,ŚMIECI WYWÓZ,68,0.534,0.702,2,0.655,0.0,C#,0.122,-6.722,minor,0.345,4,0.63,140.982,2,Top 50 Poland,1
5,Leen,False,Still Make Your Tea,Still Make Your Tea,32,0.506,0.341,3,0.39,6.41e-05,A#,0.271,-10.807,major,0.0567,4,0.164,179.167,2,Top 50 Poland,1
6,MAZIH,True,SLIDE ON IT,SLIDE ON IT,26,0.0819,0.753,3,0.445,0.0,A#,0.0908,-9.398,minor,0.048,4,0.61,141.096,2,Top 50 Poland,1
7,SB Maffija,True,Lawenda,Hotel Maffija 2,63,0.656,0.638,3,0.543,0.0,A,0.118,-8.076,major,0.0515,4,0.587,74.956,2,Top 50 Poland,1
8,Greg Scott,False,Let Me Love You,Let Me Love You,31,0.184,0.715,3,0.731,0.000509,G,0.344,-7.681,major,0.0564,4,0.128,102.997,2,Top 50 Poland,1
9,sanah,False,Szary świat,UCZTA,66,0.133,0.698,3,0.545,0.0,C#,0.0835,-9.484,major,0.036,4,0.27,120.961,2,Top 50 Poland,1
10,Dutch Melrose,True,Complifuckincated,Complifuckincated,35,0.0317,0.772,3,0.475,0.0113,G,0.151,-7.696,major,0.0506,4,0.297,137.99,2,Top 50 Poland,1
11,Brittany Pfantz,False,Chaos,Chaos,34,0.253,0.668,3,0.456,0.000172,F,0.112,-8.704,major,0.0586,4,0.303,92.96,2,Top 50 Poland,1
12,Kinny Zimmer,True,Zegarek ze Szwajcarii,LETNISKO,60,0.103,0.919,3,0.305,0.0,F,0.145,-10.412,minor,0.227,4,0.294,114.028,2,Top 50 Poland,1
13,Charma,False,Drown,Drown,29,0.268,0.592,3,0.526,0.000492,C,0.0775,-10.172,minor,0.0333,4,0.55,130.083,2,Top 50 Poland,1
14,Harry Styles,False,As It Was,Harry's House,90,0.342,0.52,2,0.731,0.00101,F#,0.311,-5.338,minor,0.0557,4,0.662,173.93,2,Top 50 Poland,1
15,Fuhr,False,Cowboy,COWBOY / COULD HAVE BEEN,33,0.164,0.661,3,0.699,0.0,B,0.092,-8.348,minor,0.03,4,0.648,89.986,2,Top 50 Poland,1
16,Smrtdeath,True,sober,sober,41,0.013,0.536,3,0.939,0.0,G,0.137,-4.58,major,0.186,4,0.6,170.025,2,Top 50 Poland,1
17,Kizo,True,Jetlag,Jetlag,55,0.356,0.769,2,0.839,0.0,F#,0.132,-7.333,minor,0.149,4,0.452,125.06,2,Top 50 Poland,1
18,KTJ & CARLY,False,Pink Ferrari,Pink Ferrari,32,0.16,0.376,2,0.432,0.0,G,0.1,-7.321,major,0.0405,4,0.233,171.95,2,Top 50 Poland,1
